win,lose,probability
Washington Wizards,Detroit Pistons,0.543914790525645
Atlanta Hawks,Charlotte Hornets,0.5917676028902521
Cleveland Cavaliers,Los Angeles Lakers,0.9572884668825602
Denver Nuggets,New York Knicks,0.5658381064211474
Detroit Pistons,Indiana Pacers,0.530098738068829
Golden State Warriors,Portland Trail Blazers,0.8164549805276319
Houston Rockets,Minnesota Timberwolves,0.6172520733001483
Oklahoma City Thunder,Phoenix Suns,0.9317519848474798
Dallas Mavericks,Sacramento Kings,0.6782121128411548
Utah Jazz,Memphis Grizzlies,0.5475655744511974
Miami Heat,Boston Celtics,0.5771963004306913
Toronto Raptors,Orlando Magic,0.729882712355466
Brooklyn Nets,Philadelphia 76ers,0.6370960067941625
San Antonio Spurs,New Orleans Pelicans,0.9371744658681909
Los Angeles Clippers,Washington Wizards,0.5944915058856317
Chicago Bulls,Detroit Pistons,0.5193108929366492
Dallas Mavericks,Denver Nuggets,0.5925072818725325
Indiana Pacers,Washington Wizards,0.6424374076367009
Minnesota Timberwolves,Phoenix Suns,0.6612776228996581
Oklahoma City Thunder,Atlanta Hawks,0.7494718555858432
Charlotte Hornets,Los Angeles Lakers,0.9012111407728761
Golden State Warriors,Utah Jazz,0.8990929384111243
San Antonio Spurs,Houston Rockets,0.7574370496915317
Los Angeles Clippers,Denver Nuggets,0.8292689904058855
Boston Celtics,Memphis Grizzlies,0.6403480071411692
Miami Heat,Orlando Magic,0.757410249185863
Cleveland Cavaliers,Milwaukee Bucks,0.8490114638725722
Indiana Pacers,New York Knicks,0.6758075452040687
New Orleans Pelicans,Philadelphia 76ers,0.7649215932731727
Portland Trail Blazers,Sacramento Kings,0.7444931174436458
Toronto Raptors,Brooklyn Nets,0.9270335458712379
Atlanta Hawks,Minnesota Timberwolves,0.8043929053793738
Chicago Bulls,Washington Wizards,0.5403410674151322
Cleveland Cavaliers,Milwaukee Bucks,0.9138781338672142
Detroit Pistons,Memphis Grizzlies,0.6736196007564923
Oklahoma City Thunder,New Orleans Pelicans,0.8434250330673803
Houston Rockets,Phoenix Suns,0.7460242775772381
Portland Trail Blazers,Dallas Mavericks,0.6365418985211114
Utah Jazz,Sacramento Kings,0.6926953816265857
Golden State Warriors,Brooklyn Nets,0.952382482662143
Indiana Pacers,Boston Celtics,0.5324499070078716
San Antonio Spurs,Los Angeles Clippers,0.6114048847264779
Miami Heat,Los Angeles Lakers,0.8995116567547028
Orlando Magic,New York Knicks,0.5260991437109168
Oklahoma City Thunder,Boston Celtics,0.5872408657026833
Charlotte Hornets,Chicago Bulls,0.7005742431152412
Cleveland Cavaliers,Brooklyn Nets,0.9529744816019471
Atlanta Hawks,Denver Nuggets,0.6912226913326569
Golden State Warriors,Detroit Pistons,0.796550476909789
Los Angeles Clippers,Dallas Mavericks,0.7324753059888542
Houston Rockets,Memphis Grizzlies,0.5486144974898199
Washington Wizards,Milwaukee Bucks,0.618881275925449
Minnesota Timberwolves,Sacramento Kings,0.5179594249381365
Miami Heat,New Orleans Pelicans,0.7274155958525936
Orlando Magic,Los Angeles Lakers,0.7765589161198794
Phoenix Suns,Philadelphia 76ers,0.7028887513124651
San Antonio Spurs,Portland Trail Blazers,0.7109603874799455
Toronto Raptors,Utah Jazz,0.6172839426812979
Golden State Warriors,Cleveland Cavaliers,0.5147791711669859
Los Angeles Clippers,Los Angeles Lakers,0.8850175060396258
Boston Celtics,New York Knicks,0.7174302750340826
Oklahoma City Thunder,Minnesota Timberwolves,0.8959278166017169
San Antonio Spurs,Chicago Bulls,0.8869137810476451
Charlotte Hornets,Brooklyn Nets,0.8432595239766643
Indiana Pacers,Chicago Bulls,0.5242513117399188
Cleveland Cavaliers,Detroit Pistons,0.7032303709336647
Houston Rockets,Phoenix Suns,0.8035101788890517
Los Angeles Clippers,Denver Nuggets,0.8292689904058855
Atlanta Hawks,Minnesota Timberwolves,0.7003841649599252
Dallas Mavericks,New Orleans Pelicans,0.6395049084311097
Orlando Magic,Memphis Grizzlies,0.5415116251809685
Toronto Raptors,Portland Trail Blazers,0.5599367830610198
Sacramento Kings,Philadelphia 76ers,0.8262955202465122
Washington Wizards,Milwaukee Bucks,0.7185749877971619
Boston Celtics,Memphis Grizzlies,0.7534902935947281
Dallas Mavericks,Houston Rockets,0.5487937187338875
Utah Jazz,Los Angeles Lakers,0.812701049455383
Oklahoma City Thunder,Miami Heat,0.5884037542939682
Atlanta Hawks,New York Knicks,0.8065480664080441
Chicago Bulls,Brooklyn Nets,0.8154074477952125
Denver Nuggets,Minnesota Timberwolves,0.5624560665222271
Detroit Pistons,Milwaukee Bucks,0.741962777401005
Golden State Warriors,Toronto Raptors,0.8087540425188035
Los Angeles Clippers,New Orleans Pelicans,0.7689560553657019
Charlotte Hornets,Orlando Magic,0.6479322012813294
Portland Trail Blazers,Sacramento Kings,0.7407520681433609
San Antonio Spurs,Phoenix Suns,0.955573549868555
Washington Wizards,Indiana Pacers,0.5004373771124568
Charlotte Hornets,Miami Heat,0.5899987973051393
Cleveland Cavaliers,Boston Celtics,0.7736610018106062
Dallas Mavericks,Los Angeles Lakers,0.8040209557745199
Oklahoma City Thunder,Memphis Grizzlies,0.7765233558042701
Toronto Raptors,Phoenix Suns,0.8603904357951703
Utah Jazz,Philadelphia 76ers,0.9003924538589575
Atlanta Hawks,Detroit Pistons,0.6721601529129807
Boston Celtics,Miami Heat,0.586572857290911
Denver Nuggets,Philadelphia 76ers,0.8181698215122089
Golden State Warriors,Dallas Mavericks,0.9040646393782549
Los Angeles Clippers,Houston Rockets,0.5762626937381989
