Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Feb 18 2014,7:00 pm,Toronto Raptors,103,Washington Wizards,93,Box Score,,
Wed Feb 19 2014,7:30 pm,Washington Wizards,114,Atlanta Hawks,97,Box Score,,
Wed Feb 19 2014,7:00 pm,Detroit Pistons,98,Charlotte Bobcats,116,Box Score,,
Wed Feb 19 2014,7:00 pm,Orlando Magic,93,Cleveland Cavaliers,101,Box Score,,
Wed Feb 19 2014,10:30 pm,Houston Rockets,134,Los Angeles Lakers,108,Box Score,,
Wed Feb 19 2014,8:00 pm,Indiana Pacers,91,Minnesota Timberwolves,104,Box Score,,
Wed Feb 19 2014,8:00 pm,New York Knicks,98,New Orleans Pelicans,91,Box Score,,
Wed Feb 19 2014,9:00 pm,Boston Celtics,94,Phoenix Suns,100,Box Score,,
Wed Feb 19 2014,10:00 pm,San Antonio Spurs,111,Portland Trail Blazers,109,Box Score,,
Wed Feb 19 2014,10:00 pm,Golden State Warriors,101,Sacramento Kings,92,Box Score,,
Wed Feb 19 2014,7:00 pm,Chicago Bulls,94,Toronto Raptors,92,Box Score,,
Wed Feb 19 2014,9:00 pm,Brooklyn Nets,105,Utah Jazz,99,Box Score,,
Thu Feb 20 2014,10:30 pm,Houston Rockets,99,Golden State Warriors,102,Box Score,OT,
Thu Feb 20 2014,8:00 pm,Denver Nuggets,101,Milwaukee Bucks,90,Box Score,,
Thu Feb 20 2014,8:00 pm,Miami Heat,103,Oklahoma City Thunder,81,Box Score,,
Fri Feb 21 2014,7:00 pm,New Orleans Pelicans,87,Charlotte Bobcats,90,Box Score,,
Fri Feb 21 2014,8:00 pm,Denver Nuggets,89,Chicago Bulls,117,Box Score,,
Fri Feb 21 2014,7:30 pm,Atlanta Hawks,107,Detroit Pistons,115,Box Score,,
Fri Feb 21 2014,10:30 pm,Boston Celtics,92,Los Angeles Lakers,101,Box Score,,
Fri Feb 21 2014,8:00 pm,Los Angeles Clippers,96,Memphis Grizzlies,102,Box Score,,
Fri Feb 21 2014,7:00 pm,New York Knicks,121,Orlando Magic,129,Box Score,2OT,
Fri Feb 21 2014,7:00 pm,Dallas Mavericks,124,Philadelphia 76ers,112,Box Score,,
Fri Feb 21 2014,9:00 pm,San Antonio Spurs,85,Phoenix Suns,106,Box Score,,
Fri Feb 21 2014,10:00 pm,Utah Jazz,94,Portland Trail Blazers,102,Box Score,,
Fri Feb 21 2014,7:00 pm,Cleveland Cavaliers,91,Toronto Raptors,98,Box Score,,
Sat Feb 22 2014,7:30 pm,New York Knicks,98,Atlanta Hawks,107,Box Score,,
Sat Feb 22 2014,7:00 pm,Memphis Grizzlies,89,Charlotte Bobcats,92,Box Score,,
Sat Feb 22 2014,7:30 pm,Dallas Mavericks,113,Detroit Pistons,102,Box Score,,
Sat Feb 22 2014,10:30 pm,Brooklyn Nets,86,Golden State Warriors,93,Box Score,,
Sat Feb 22 2014,8:30 pm,Indiana Pacers,110,Milwaukee Bucks,100,Box Score,,
Sat Feb 22 2014,10:00 pm,Boston Celtics,98,Sacramento Kings,105,Box Score,,
Sat Feb 22 2014,9:00 pm,Minnesota Timberwolves,121,Utah Jazz,104,Box Score,,
Sat Feb 22 2014,7:00 pm,New Orleans Pelicans,93,Washington Wizards,94,Box Score,,
Sun Feb 23 2014,6:00 pm,Washington Wizards,96,Cleveland Cavaliers,83,Box Score,,
Sun Feb 23 2014,8:00 pm,Sacramento Kings,109,Denver Nuggets,95,Box Score,,
Sun Feb 23 2014,9:00 pm,Brooklyn Nets,108,Los Angeles Lakers,102,Box Score,,
Sun Feb 23 2014,3:30 pm,Chicago Bulls,79,Miami Heat,93,Box Score,,
Sun Feb 23 2014,1:00 pm,Los Angeles Clippers,125,Oklahoma City Thunder,117,Box Score,,
Sun Feb 23 2014,9:00 pm,Houston Rockets,115,Phoenix Suns,112,Box Score,,
Sun Feb 23 2014,9:00 pm,Minnesota Timberwolves,97,Portland Trail Blazers,108,Box Score,,
Sun Feb 23 2014,6:00 pm,Orlando Magic,90,Toronto Raptors,105,Box Score,,
Mon Feb 24 2014,7:30 pm,Golden State Warriors,104,Detroit Pistons,96,Box Score,,
Mon Feb 24 2014,8:00 pm,Los Angeles Clippers,123,New Orleans Pelicans,110,Box Score,,
Mon Feb 24 2014,7:30 pm,Dallas Mavericks,110,New York Knicks,108,Box Score,,
Mon Feb 24 2014,7:00 pm,Milwaukee Bucks,130,Philadelphia 76ers,110,Box Score,,
Mon Feb 24 2014,9:00 pm,Boston Celtics,98,Utah Jazz,110,Box Score,,
Tue Feb 25 2014,7:30 pm,Chicago Bulls,107,Atlanta Hawks,103,Box Score,,
Tue Feb 25 2014,7:00 pm,Toronto Raptors,99,Cleveland Cavaliers,93,Box Score,,
Tue Feb 25 2014,9:00 pm,Portland Trail Blazers,100,Denver Nuggets,95,Box Score,,
Tue Feb 25 2014,7:00 pm,Los Angeles Lakers,98,Indiana Pacers,118,Box Score,,
Tue Feb 25 2014,9:00 pm,Minnesota Timberwolves,110,Phoenix Suns,101,Box Score,,
Tue Feb 25 2014,10:00 pm,Houston Rockets,129,Sacramento Kings,103,Box Score,,
Tue Feb 25 2014,7:00 pm,Orlando Magic,106,Washington Wizards,115,Box Score,,
Wed Feb 26 2014,7:30 pm,Atlanta Hawks,104,Boston Celtics,115,Box Score,,
Wed Feb 26 2014,8:00 pm,Golden State Warriors,83,Chicago Bulls,103,Box Score,,
Wed Feb 26 2014,8:00 pm,New Orleans Pelicans,89,Dallas Mavericks,108,Box Score,,
Wed Feb 26 2014,10:30 pm,Houston Rockets,93,Los Angeles Clippers,101,Box Score,,
Wed Feb 26 2014,8:00 pm,Los Angeles Lakers,103,Memphis Grizzlies,108,Box Score,,
Wed Feb 26 2014,8:00 pm,Cleveland Cavaliers,114,Oklahoma City Thunder,104,Box Score,,
Wed Feb 26 2014,7:00 pm,Orlando Magic,101,Philadelphia 76ers,90,Box Score,,
Wed Feb 26 2014,10:00 pm,Brooklyn Nets,80,Portland Trail Blazers,124,Box Score,,
Wed Feb 26 2014,8:30 pm,Detroit Pistons,110,San Antonio Spurs,120,Box Score,,
Wed Feb 26 2014,9:00 pm,Phoenix Suns,86,Utah Jazz,109,Box Score,,
Thu Feb 27 2014,10:30 pm,Brooklyn Nets,112,Denver Nuggets,89,Box Score,,
Thu Feb 27 2014,7:00 pm,Milwaukee Bucks,96,Indiana Pacers,101,Box Score,,
Thu Feb 27 2014,8:00 pm,New York Knicks,82,Miami Heat,108,Box Score,,
Thu Feb 27 2014,7:00 pm,Washington Wizards,134,Toronto Raptors,129,Box Score,3OT,
Fri Feb 28 2014,7:30 pm,Utah Jazz,79,Cleveland Cavaliers,99,Box Score,,
Fri Feb 28 2014,8:30 pm,Chicago Bulls,100,Dallas Mavericks,91,Box Score,,
Fri Feb 28 2014,10:30 pm,Sacramento Kings,122,Los Angeles Lakers,126,Box Score,,
Fri Feb 28 2014,8:00 pm,Golden State Warriors,126,New York Knicks,103,Box Score,,
Fri Feb 28 2014,8:00 pm,Memphis Grizzlies,107,Oklahoma City Thunder,113,Box Score,,
Fri Feb 28 2014,10:30 pm,New Orleans Pelicans,104,Phoenix Suns,116,Box Score,,
Fri Feb 28 2014,8:30 pm,Charlotte Bobcats,82,San Antonio Spurs,92,Box Score,,
