Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Mon Jan 20 2014,8:00 pm,Los Angeles Lakers,100,Chicago Bulls,102,Box Score,OT,
Mon Jan 20 2014,1:00 pm,Dallas Mavericks,102,Cleveland Cavaliers,97,Box Score,,
Mon Jan 20 2014,1:00 pm,Los Angeles Clippers,112,Detroit Pistons,103,Box Score,,
Mon Jan 20 2014,10:30 pm,Indiana Pacers,102,Golden State Warriors,94,Box Score,,
Mon Jan 20 2014,8:00 pm,Portland Trail Blazers,113,Houston Rockets,126,Box Score,,
Mon Jan 20 2014,5:00 pm,New Orleans Pelicans,95,Memphis Grizzlies,92,Box Score,,
Mon Jan 20 2014,2:30 pm,Brooklyn Nets,103,New York Knicks,80,Box Score,,
Mon Jan 20 2014,2:00 pm,Philadelphia 76ers,99,Washington Wizards,107,Box Score,,
Tue Jan 21 2014,7:30 pm,Orlando Magic,90,Brooklyn Nets,101,Box Score,,
Tue Jan 21 2014,7:30 pm,Boston Celtics,86,Miami Heat,93,Box Score,,
Tue Jan 21 2014,8:00 pm,Sacramento Kings,114,New Orleans Pelicans,97,Box Score,,
Tue Jan 21 2014,8:00 pm,Portland Trail Blazers,97,Oklahoma City Thunder,105,Box Score,,
Tue Jan 21 2014,9:00 pm,Minnesota Timberwolves,112,Utah Jazz,97,Box Score,,
Wed Jan 22 2014,7:00 pm,Los Angeles Clippers,91,Charlotte Bobcats,95,Box Score,,
Wed Jan 22 2014,7:00 pm,Chicago Bulls,98,Cleveland Cavaliers,87,Box Score,,
Wed Jan 22 2014,8:00 pm,Sacramento Kings,98,Houston Rockets,119,Box Score,,
Wed Jan 22 2014,8:00 pm,Detroit Pistons,101,Milwaukee Bucks,104,Box Score,,
Wed Jan 22 2014,7:30 pm,Philadelphia 76ers,110,New York Knicks,106,Box Score,,
Wed Jan 22 2014,7:00 pm,Atlanta Hawks,112,Orlando Magic,109,Box Score,,
Wed Jan 22 2014,10:30 pm,Indiana Pacers,100,Phoenix Suns,124,Box Score,,
Wed Jan 22 2014,8:00 pm,Oklahoma City Thunder,111,San Antonio Spurs,105,Box Score,,
Wed Jan 22 2014,7:00 pm,Dallas Mavericks,85,Toronto Raptors,93,Box Score,,
Wed Jan 22 2014,7:00 pm,Boston Celtics,113,Washington Wizards,111,Box Score,OT,
Thu Jan 23 2014,8:00 pm,Los Angeles Lakers,102,Miami Heat,109,Box Score,,
Thu Jan 23 2014,10:30 pm,Denver Nuggets,105,Portland Trail Blazers,110,Box Score,,
Fri Jan 24 2014,7:30 pm,San Antonio Spurs,105,Atlanta Hawks,79,Box Score,,
Fri Jan 24 2014,7:30 pm,Oklahoma City Thunder,101,Boston Celtics,83,Box Score,,
Fri Jan 24 2014,7:30 pm,Dallas Mavericks,106,Brooklyn Nets,107,Box Score,,
Fri Jan 24 2014,8:00 pm,Los Angeles Clippers,112,Chicago Bulls,95,Box Score,,
Fri Jan 24 2014,7:30 pm,Milwaukee Bucks,78,Cleveland Cavaliers,93,Box Score,,
Fri Jan 24 2014,7:30 pm,New Orleans Pelicans,103,Detroit Pistons,101,Box Score,,
Fri Jan 24 2014,10:30 pm,Minnesota Timberwolves,121,Golden State Warriors,120,Box Score,,
Fri Jan 24 2014,8:00 pm,Memphis Grizzlies,88,Houston Rockets,87,Box Score,,
Fri Jan 24 2014,7:30 pm,Charlotte Bobcats,96,New York Knicks,125,Box Score,,
Fri Jan 24 2014,7:00 pm,Los Angeles Lakers,105,Orlando Magic,114,Box Score,,
Fri Jan 24 2014,7:00 pm,Toronto Raptors,104,Philadelphia 76ers,95,Box Score,,
Fri Jan 24 2014,9:00 pm,Washington Wizards,101,Phoenix Suns,95,Box Score,,
Fri Jan 24 2014,10:00 pm,Indiana Pacers,116,Sacramento Kings,111,Box Score,OT,
Sat Jan 25 2014,7:00 pm,Chicago Bulls,89,Charlotte Bobcats,87,Box Score,,
Sat Jan 25 2014,9:00 pm,Indiana Pacers,96,Denver Nuggets,109,Box Score,,
Sat Jan 25 2014,8:00 pm,Houston Rockets,81,Memphis Grizzlies,99,Box Score,,
Sat Jan 25 2014,8:30 pm,Atlanta Hawks,112,Milwaukee Bucks,87,Box Score,,
Sat Jan 25 2014,7:30 pm,Oklahoma City Thunder,103,Philadelphia 76ers,91,Box Score,,
Sat Jan 25 2014,10:00 pm,Minnesota Timberwolves,104,Portland Trail Blazers,115,Box Score,,
Sat Jan 25 2014,7:00 pm,Los Angeles Clippers,126,Toronto Raptors,118,Box Score,,
Sat Jan 25 2014,9:00 pm,Washington Wizards,101,Utah Jazz,104,Box Score,,
Sun Jan 26 2014,6:30 pm,Brooklyn Nets,85,Boston Celtics,79,Box Score,,
Sun Jan 26 2014,6:00 pm,Phoenix Suns,99,Cleveland Cavaliers,90,Box Score,,
Sun Jan 26 2014,7:30 pm,Detroit Pistons,106,Dallas Mavericks,116,Box Score,,
Sun Jan 26 2014,9:00 pm,Portland Trail Blazers,88,Golden State Warriors,103,Box Score,,
Sun Jan 26 2014,1:00 pm,San Antonio Spurs,101,Miami Heat,113,Box Score,,
Sun Jan 26 2014,6:00 pm,Orlando Magic,92,New Orleans Pelicans,100,Box Score,,
Sun Jan 26 2014,3:30 pm,Los Angeles Lakers,103,New York Knicks,110,Box Score,,
Sun Jan 26 2014,9:00 pm,Denver Nuggets,125,Sacramento Kings,117,Box Score,,
Mon Jan 27 2014,7:30 pm,Toronto Raptors,104,Brooklyn Nets,103,Box Score,,
Mon Jan 27 2014,8:00 pm,Minnesota Timberwolves,95,Chicago Bulls,86,Box Score,,
Mon Jan 27 2014,8:00 pm,Los Angeles Clippers,114,Milwaukee Bucks,86,Box Score,,
Mon Jan 27 2014,8:00 pm,Atlanta Hawks,109,Oklahoma City Thunder,111,Box Score,,
Mon Jan 27 2014,7:00 pm,Phoenix Suns,124,Philadelphia 76ers,113,Box Score,,
Mon Jan 27 2014,9:00 pm,Sacramento Kings,99,Utah Jazz,106,Box Score,,
Tue Jan 28 2014,7:00 pm,New Orleans Pelicans,100,Cleveland Cavaliers,89,Box Score,,
Tue Jan 28 2014,7:30 pm,Orlando Magic,87,Detroit Pistons,103,Box Score,,
Tue Jan 28 2014,10:30 pm,Washington Wizards,88,Golden State Warriors,85,Box Score,,
Tue Jan 28 2014,8:00 pm,San Antonio Spurs,90,Houston Rockets,97,Box Score,,
Tue Jan 28 2014,10:30 pm,Indiana Pacers,104,Los Angeles Lakers,92,Box Score,,
Tue Jan 28 2014,7:30 pm,Boston Celtics,88,New York Knicks,114,Box Score,,
Tue Jan 28 2014,10:00 pm,Memphis Grizzlies,98,Portland Trail Blazers,81,Box Score,,
Wed Jan 29 2014,7:30 pm,Philadelphia 76ers,95,Boston Celtics,94,Box Score,,
Wed Jan 29 2014,8:30 pm,Houston Rockets,117,Dallas Mavericks,115,Box Score,,
Wed Jan 29 2014,9:00 pm,Charlotte Bobcats,101,Denver Nuggets,98,Box Score,,
Wed Jan 29 2014,10:30 pm,Washington Wizards,103,Los Angeles Clippers,110,Box Score,,
Wed Jan 29 2014,7:00 pm,Oklahoma City Thunder,112,Miami Heat,95,Box Score,,
Wed Jan 29 2014,8:00 pm,Phoenix Suns,126,Milwaukee Bucks,117,Box Score,,
Wed Jan 29 2014,8:00 pm,New Orleans Pelicans,77,Minnesota Timberwolves,88,Box Score,,
Wed Jan 29 2014,10:00 pm,Memphis Grizzlies,99,Sacramento Kings,89,Box Score,,
Wed Jan 29 2014,9:30 pm,Chicago Bulls,96,San Antonio Spurs,86,Box Score,,
Wed Jan 29 2014,7:00 pm,Orlando Magic,83,Toronto Raptors,98,Box Score,,
Thu Jan 30 2014,10:30 pm,Los Angeles Clippers,92,Golden State Warriors,111,Box Score,,
Thu Jan 30 2014,7:00 pm,Phoenix Suns,102,Indiana Pacers,94,Box Score,,
Thu Jan 30 2014,8:00 pm,Cleveland Cavaliers,86,New York Knicks,117,Box Score,,
Fri Jan 31 2014,8:00 pm,Oklahoma City Thunder,120,Brooklyn Nets,95,Box Score,,
Fri Jan 31 2014,8:30 pm,Sacramento Kings,103,Dallas Mavericks,107,Box Score,,
Fri Jan 31 2014,9:00 pm,Toronto Raptors,100,Denver Nuggets,90,Box Score,,
Fri Jan 31 2014,10:30 pm,Charlotte Bobcats,110,Los Angeles Lakers,100,Box Score,,
Fri Jan 31 2014,8:00 pm,Memphis Grizzlies,94,Minnesota Timberwolves,90,Box Score,,
Fri Jan 31 2014,7:00 pm,Milwaukee Bucks,102,Orlando Magic,113,Box Score,,
Fri Jan 31 2014,7:30 pm,Atlanta Hawks,125,Philadelphia 76ers,99,Box Score,,
Fri Jan 31 2014,10:30 pm,Golden State Warriors,95,Utah Jazz,90,Box Score,,
