Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Dec 21 2013,8:30 pm,Philadelphia 76ers,106,Milwaukee Bucks,116,Box Score,,
Sat Dec 21 2013,12:00 am,Memphis Grizzlies,95,New York Knicks,87,Box Score,,
Sat Dec 21 2013,7:00 pm,Sacramento Kings,105,Orlando Magic,100,Box Score,,
Sat Dec 21 2013,9:00 pm,Dallas Mavericks,108,Phoenix Suns,123,Box Score,,
Sat Dec 21 2013,10:00 pm,New Orleans Pelicans,107,Portland Trail Blazers,110,Box Score,,
Sat Dec 21 2013,8:30 pm,Oklahoma City Thunder,113,San Antonio Spurs,100,Box Score,,
Sun Dec 22 2013,6:00 pm,Boston Celtics,79,Indiana Pacers,106,Box Score,,
Sun Dec 22 2013,9:30 pm,Minnesota Timberwolves,116,Los Angeles Clippers,120,Box Score,OT,
Sun Dec 22 2013,7:00 pm,Toronto Raptors,104,Oklahoma City Thunder,98,Box Score,,
Mon Dec 23 2013,7:30 pm,Indiana Pacers,103,Brooklyn Nets,86,Box Score,,
Mon Dec 23 2013,7:00 pm,Milwaukee Bucks,110,Charlotte Bobcats,111,Box Score,OT,
Mon Dec 23 2013,7:00 pm,Detroit Pistons,115,Cleveland Cavaliers,92,Box Score,,
Mon Dec 23 2013,9:00 pm,Golden State Warriors,89,Denver Nuggets,81,Box Score,,
Mon Dec 23 2013,8:00 pm,Dallas Mavericks,111,Houston Rockets,104,Box Score,,
Mon Dec 23 2013,8:00 pm,Utah Jazz,94,Memphis Grizzlies,104,Box Score,,
Mon Dec 23 2013,7:30 pm,Atlanta Hawks,119,Miami Heat,121,Box Score,OT,
Mon Dec 23 2013,7:00 pm,New York Knicks,103,Orlando Magic,98,Box Score,,
Mon Dec 23 2013,9:00 pm,Los Angeles Lakers,90,Phoenix Suns,117,Box Score,,
Mon Dec 23 2013,10:00 pm,New Orleans Pelicans,113,Sacramento Kings,100,Box Score,,
Mon Dec 23 2013,8:30 pm,Toronto Raptors,99,San Antonio Spurs,112,Box Score,,
Wed Dec 25 2013,12:00 am,Chicago Bulls,95,Brooklyn Nets,78,Box Score,,
Wed Dec 25 2013,10:30 pm,Los Angeles Clippers,103,Golden State Warriors,105,Box Score,,
Wed Dec 25 2013,5:00 pm,Miami Heat,101,Los Angeles Lakers,95,Box Score,,
Wed Dec 25 2013,2:30 pm,Oklahoma City Thunder,123,New York Knicks,94,Box Score,,
Wed Dec 25 2013,8:00 pm,Houston Rockets,111,San Antonio Spurs,98,Box Score,,
Thu Dec 26 2013,7:00 pm,Atlanta Hawks,127,Cleveland Cavaliers,125,Box Score,2OT,
Thu Dec 26 2013,8:30 pm,San Antonio Spurs,116,Dallas Mavericks,107,Box Score,,
Thu Dec 26 2013,8:00 pm,Memphis Grizzlies,92,Houston Rockets,100,Box Score,,
Thu Dec 26 2013,10:30 pm,Los Angeles Clippers,112,Portland Trail Blazers,116,Box Score,OT,
Fri Dec 27 2013,7:30 pm,Milwaukee Bucks,93,Brooklyn Nets,104,Box Score,,
Fri Dec 27 2013,7:00 pm,Oklahoma City Thunder,89,Charlotte Bobcats,85,Box Score,,
Fri Dec 27 2013,10:30 pm,Phoenix Suns,86,Golden State Warriors,115,Box Score,,
Fri Dec 27 2013,8:00 pm,Washington Wizards,98,Minnesota Timberwolves,120,Box Score,,
Fri Dec 27 2013,8:00 pm,Denver Nuggets,89,New Orleans Pelicans,105,Box Score,,
Fri Dec 27 2013,7:30 pm,Toronto Raptors,95,New York Knicks,83,Box Score,,
Fri Dec 27 2013,7:00 pm,Detroit Pistons,92,Orlando Magic,109,Box Score,,
Fri Dec 27 2013,10:00 pm,Miami Heat,103,Sacramento Kings,108,Box Score,OT,
Fri Dec 27 2013,9:00 pm,Los Angeles Lakers,103,Utah Jazz,105,Box Score,,
Sat Dec 28 2013,7:30 pm,Charlotte Bobcats,116,Atlanta Hawks,118,Box Score,OT,
Sat Dec 28 2013,1:00 pm,Cleveland Cavaliers,100,Boston Celtics,103,Box Score,,
Sat Dec 28 2013,8:00 pm,Dallas Mavericks,105,Chicago Bulls,83,Box Score,,
Sat Dec 28 2013,8:00 pm,New Orleans Pelicans,98,Houston Rockets,107,Box Score,,
Sat Dec 28 2013,7:00 pm,Brooklyn Nets,91,Indiana Pacers,105,Box Score,,
Sat Dec 28 2013,10:30 pm,Utah Jazz,90,Los Angeles Clippers,98,Box Score,,
Sat Dec 28 2013,8:00 pm,Denver Nuggets,99,Memphis Grizzlies,120,Box Score,,
Sat Dec 28 2013,8:30 pm,Minnesota Timberwolves,117,Milwaukee Bucks,95,Box Score,,
Sat Dec 28 2013,9:00 pm,Philadelphia 76ers,101,Phoenix Suns,115,Box Score,,
Sat Dec 28 2013,10:00 pm,Miami Heat,108,Portland Trail Blazers,107,Box Score,,
Sat Dec 28 2013,7:00 pm,New York Knicks,100,Toronto Raptors,115,Box Score,,
Sat Dec 28 2013,7:00 pm,Detroit Pistons,82,Washington Wizards,106,Box Score,,
Sun Dec 29 2013,6:00 pm,Golden State Warriors,108,Cleveland Cavaliers,104,Box Score,OT,
Sun Dec 29 2013,9:30 pm,Philadelphia 76ers,111,Los Angeles Lakers,104,Box Score,,
Sun Dec 29 2013,7:00 pm,Houston Rockets,86,Oklahoma City Thunder,117,Box Score,,
Sun Dec 29 2013,6:00 pm,Atlanta Hawks,102,Orlando Magic,109,Box Score,,
Sun Dec 29 2013,7:00 pm,Sacramento Kings,104,San Antonio Spurs,112,Box Score,,
Mon Dec 30 2013,9:00 pm,Miami Heat,97,Denver Nuggets,94,Box Score,,
Mon Dec 30 2013,7:30 pm,Washington Wizards,106,Detroit Pistons,99,Box Score,,
Mon Dec 30 2013,10:30 pm,Phoenix Suns,107,Los Angeles Clippers,88,Box Score,,
Mon Dec 30 2013,8:00 pm,Chicago Bulls,95,Memphis Grizzlies,91,Box Score,,
Mon Dec 30 2013,8:00 pm,Dallas Mavericks,100,Minnesota Timberwolves,98,Box Score,,
Mon Dec 30 2013,8:00 pm,Portland Trail Blazers,108,New Orleans Pelicans,110,Box Score,,
Mon Dec 30 2013,9:00 pm,Charlotte Bobcats,80,Utah Jazz,83,Box Score,,
Tue Dec 31 2013,1:00 pm,Atlanta Hawks,92,Boston Celtics,91,Box Score,,
Tue Dec 31 2013,8:00 pm,Toronto Raptors,85,Chicago Bulls,79,Box Score,,
Tue Dec 31 2013,7:00 pm,Sacramento Kings,110,Houston Rockets,106,Box Score,,
Tue Dec 31 2013,3:00 pm,Cleveland Cavaliers,76,Indiana Pacers,91,Box Score,,
Tue Dec 31 2013,10:30 pm,Milwaukee Bucks,94,Los Angeles Lakers,79,Box Score,,
Tue Dec 31 2013,8:00 pm,Portland Trail Blazers,98,Oklahoma City Thunder,94,Box Score,,
Tue Dec 31 2013,5:00 pm,Golden State Warriors,94,Orlando Magic,81,Box Score,,
Tue Dec 31 2013,7:00 pm,Brooklyn Nets,92,San Antonio Spurs,113,Box Score,,
